R,G,B,PurpleOrNot,Gender,AndrewID
189,103,220,Yes,Female,sswamin2
180,30,235,Yes,Female,sswamin2
169,113,189,Yes,Female,sswamin2
113,119,189,No,Female,sswamin2
66,77,232,No,Female,sswamin2
159,164,228,No,Female,sswamin2
53,65,229,No,Female,sswamin2
7,10,58,No,Female,sswamin2
138,143,209,No,Female,sswamin2
103,198,83,No,Female,sswamin2
67,216,37,No,Female,sswamin2
203,243,195,No,Female,sswamin2
64,165,121,No,Female,sswamin2
18,125,79,No,Female,sswamin2
174,238,210,No,Female,sswamin2
76,170,185,No,Female,sswamin2
39,91,100,No,Female,sswamin2
183,143,73,No,Female,sswamin2
243,189,95,No,Female,sswamin2
119,88,33,No,Female,sswamin2
242,221,185,No,Female,sswamin2
245,166,30,No,Female,sswamin2
85,76,61,No,Female,sswamin2
221,240,124,No,Female,sswamin2
205,92,92,No,Female,anship
244,164,96,No,Female,anship
255,99,71,No,Female,anship
176,224,230,No,Female,anship
240,230,140,No,Female,anship
218,112,214,No,Female,anship
255,20,147,No,Female,anship
173,216,230,No,Male,anship
255,215,0,No,Female,anship
255,182,193,No,Female,anship
255,250,205,No,Female,anship
255,192,203,No,Female,anship
255,222,173,No,Female,anship
255,228,181,No,Female,anship
240,128,128,No,Female,anship
70,130,180,No,Female,anship
135,206,250,No,Female,anship
255,228,196,No,Female,anship
188,143,143,No,Female,anship
255,215,191,No,Female,anship
175,31,225,Yes,Male,ssliu
170,15,226,Yes,Male,ssliu
163,25,191,Yes,Male,ssliu
215,68,245,Yes,Male,ssliu
180,27,210,Yes,Male,ssliu
146,13,172,Yes,Male,ssliu
186,49,191,Yes,Male,ssliu
167,20,172,Yes,Male,ssliu
214,97,218,Yes,Male,ssliu
95,22,121,Yes,Male,ssliu
208,77,255,Yes,Male,ssliu
255,152,35,No,Male,ssliu
90,255,32,No,Male,ssliu
36,172,176,No,Male,ssliu
47,91,236,No,Male,ssliu
209,26,68,No,Male,ssliu
49,183,49,No,Male,ssliu
70,71,53,No,Male,ssliu
123,128,71,No,Male,ssliu
198,59,59,No,Male,ssliu
32,229,145,No,Female,ssliu
204,229,218,No,Male,ssliu
247,241,60,No,Male,ssliu
225,37,141,No,Male,ssliu
188,50,128,No,Male,jeffersl
129,12,13,No,Male,jeffersl
129,100,12,No,Male,jeffersl
129,174,23,No,Male,jeffersl
129,200,21,No,Male,jeffersl
129,181,30,No,Male,jeffersl
166,23,182,Yes,Male,jeffersl
166,21,181,Yes,Male,jeffersl
166,20,180,Yes,Male,jeffersl
0,0,0,No,Female,amanna
255,255,255,No,Female,amanna
0,153,153,No,Female,amanna
204,0,0,No,Female,amanna
204,255,255,No,Female,amanna
255,204,204,No,Female,amanna
0,51,51,No,Female,amanna
204,204,0,No,Female,amanna
255,255,153,No,Female,amanna
255,102,102,No,Female,amanna
160,160,160,No,Female,amanna
255,128,0,No,Female,amanna
102,51,0,No,Female,amanna
102,102,0,No,Female,amanna
0,51,102,No,Female,amanna
51,153,255,No,Female,amanna
153,0,153,,Male,abressle
153,51,255,,Male,abressle
51,255,255,,Male,abressle
0,204,0,No,Male,abressle
255,255,0,No,Male,abressle
255,0,0,No,Male,abressle
178,102,255,Yes,Male,abressle
255,204,153,No,Male,abressle
0,153,76,No,Male,abressle
0,0,204,No,Male,abressle
102,51,0,No,Male,abressle
143,213,89,No,Male,abressle
0,0,0,No,Male,abressle
200,85,240,Yes,Male,abressle
140,28,174,Yes,Male,abressle
220,165,235,Yes,Male,abressle
205,0,255,Yes,Male,abressle
220,75,255,Yes,Male,abressle
175,115,235,Yes,Male,abressle
170,104,236,,Male,abressle
255,0,0,No,Female,agebreg
0,255,0,No,Female,agebreg
0,0,255,No,Female,agebrezg
255,255,0,No,Female,agebreg
255,165,0,No,Female,agebreg
255,255,255,No,Female,agebreg
255,0,255,No,Female,agebreg
128,128,128,No,Female,agebreg
255,255,255,No,Female,agebreg
0,0,0,No,Female,agebreg
255,192,192,No,Female,agebreg
0,128,144,No,Female,agebreg
255,215,0,No,Female,agebreg
255,99,71,No,Female,agebreg
0,255,127,No,Female,agebreg
70,130,180,No,Female,agebreg
218,165,32,No,Female,agebreg
176,224,230,No,Female,agebreg
255,140,0,No,Female,agebreg
0,255,127,No,Female,agebreg
51,102,0,No,Female,amanna
0,204,0,No,Female,amanna
0,102,102,No,Female,amanna
64,64,64,No,Female,amanna
255,51,153,No,Female,amanna
255,178,,No,Female,amanna
0,153,76,No,Female,amanna
102,204,0,No,Female,amanna
153,255,255,No,Female,amanna
76,153,0,No,Female,amanna
255,255,51,No,Female,amanna
255,102,255,Yes,Female,amanna
157,3,252,Yes,Male,ldimitro
86,22,125,Yes,Male,ldimitro
154,106,184,Yes,Male,ldimitro
88,30,125,Yes,Male,ldimitro
199,151,230,Yes,Male,ldimitro
150,71,168,Yes,Male,ldimitro
158,13,191,Yes,Male,ldimitro
90,13,191,Yes,Male,ldimitro
132,66,219,Yes,Male,ldimitro
67,26,120,Yes,Male,ldimitro
144,84,222,Yes,Male,ldimitro
87,122,143,No,Male,ldimitro
30,186,189,No,Male,ldimitro
68,184,53,No,Male,ldimitro
255,243,18,No,Male,ldimitro
217,86,15,No,Male,ldimitro
240,0,0,No,Male,ldimitro
252,0,122,No,Male,ldimitro
37,148,96,No,Male,ldimitro
106,209,10,No,Male,ldimitro
255,255,255,No,Male,ldimitro
0,0,0,No,Male,ldimitro
128,66,66,No,Male,ldimitro
49,146,163,No,Male,ldimitro
